CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,267",131,306,28.81,0.35,-0.15,"1,98,000",0.35,0.40,"4,23,500",147.00,"22,000",13.80,14.55,"22,000",-,15.40,-,-,-,12,
,361,41,240,29.22,0.30,-0.15,"55,000",0.30,0.35,"5,22,500",148.00,"16,500",14.70,15.65,"16,500",-,-,-,-,-,-,
,302,38,63,29.44,0.25,-0.10,"1,81,500",0.25,0.30,"2,64,000",149.00,-,-,-,-,-,-,-,-,-,-,-
,"3,756",121,"3,255",29.43,0.20,-0.10,"54,56,000",0.20,0.25,"4,89,500",150.00,"5,500",16.75,17.15,"16,500",1.70,17.10,38.15,13,-,"1,603",
,275,-,98,30.74,0.20,-0.05,"6,32,500",0.15,0.20,"88,000",151.00,"22,000",17.50,18.35,"11,000",-0.75,18.20,41.45,4,-,25,
,323,-1,74,30.34,0.15,-0.10,"5,50,000",0.15,0.20,"2,91,500",152.00,"22,000",18.55,19.15,"11,000",1.90,18.60,29.25,3,3,4,
,337,5,41,32.77,0.15,-0.05,"9,02,000",0.10,0.15,"93,500",154.00,"5,500",20.65,21.05,"5,500",-,18.90,-,-,-,37,
,523,47,62,31.73,0.10,-0.05,"29,86,500",0.10,0.15,"10,17,500",155.00,-,-,-,-,-,-,-,-,-,-,-
,130,23,68,32.86,0.10,-0.05,"15,40,000",0.05,0.10,"4,01,500",156.00,"22,000",22.45,23.30,"22,000",-,20.50,-,-,-,19,
,383,4,5,35.06,0.10,-,"6,16,000",0.05,0.10,"2,86,000",158.00,"16,500",24.40,25.30,"22,000",-,26.10,-,-,-,3,
,"2,379",-12,65,37.22,0.10,-,"37,67,500",0.05,0.10,"65,06,500",160.00,"5,500",26.50,26.95,"22,000",2.00,27.00,51.65,9,5,"2,113",
,715,-9,11,43.13,0.05,-,"5,94,000",0.05,0.10,"23,65,000",170.00,-,-,-,-,-,-,-,-,-,-,-
